X,Y,BUS_STOP_N,BUS_ROOF_N,LOC_DESC,lat,long
30397.9016,39587.6036,54571,B11,BLK 532,1.29118019,103.937438
27243.6491,45890.3092,57111,B15,OPP BLK 101,1.26265138,103.9940685
13893.1484,36372.8867,21379,B01,BLK 263,1.141918071,103.9085483
41896.6893,38968.9078,78069,B06,BLK 442,1.39517121,103.9318829
7563.968499,33472.2209,26131,B05,AFT TUAS CRES,1.084679705,103.8824851
33550.2308,32566.9565,81169,B03,AFT S'PORE BADMINTON ASSN,1.319690549,103.8743551
25846.6137,34177.5594,41129,B06,OPP S'PORE BIBLE COLLEGE,1.25002149,103.8888257
9368.096199,31770.4936,24379,B03,OPP ASIA IND GASES,1.100995834,103.8671957
32181.19,37020.368,66389,B02,Bef. Serangoon Int,1.307308452,103.9143709
14787.6649,35144.0888,21521,B01,PB PACKAGING SYSTEMS,1.150008037,103.8975079
23248.6024,45891.8439,46979,B12,OPP BLK 507,1.226521711,103.9940801
9240.009198,34049.6529,24501,B61,BEF TUAS FLYOVER,1.099837154,103.8876735
13396.0353,32905.3624,22041,B03,AFT TG KLING RD,1.137423002,103.8773928
23165.79648,46308.75665,46649,B03,BLK 515,1.225772617,103.9978261
18190.85437,36587.02854,43379,B04,BLK 185,1.180784965,103.9104734
38743.2885,34759.2985,84321,B08,BLK 516,1.366654287,103.8940555
18117.1927,40253.4083,44459,B05,BLK 277,1.180117679,103.9434159
20604.641,30701.2744,17011,B01,OPP VARSITY PK,1.202615388,103.8575899
14543.4262,36877.7446,21241,B01,BLK 220,1.147798833,103.9130846
13269.9653,36681.3098,27379,B01,BLK 755,1.136282147,103.9113193
29476.2035,36475.6662,53219,B01,RAFFLES INST,1.282845681,103.9094757
14065.5382,36329.9189,21399,B05,OPP RIVER VALLEY HIGH SCH,1.143477114,103.9081623
19047.3461,32758.5064,20319,B04,BLK 24,1.188531526,103.8760741
29406.23028,34414.49746,52479,B01,OPP ACS PR SCH,1.282213355,103.8909553
19330.4634,39901.9829,44131,B04,BLK 26,1.191090186,103.9402588
21702.9337,34470.728,12099,B06,OPP SIM HQ,1.212547448,103.891459
30366.4848,36587.7924,53289,B02,ZION BIBLE PRESBY CH,1.290897035,103.9104835
6161.744701,34585.7464,25391,B10,OPP SUMITOMO WAREHSE,1.071998293,103.8924896
26829.8838,47591.0372,58101,B01,BLK 311,1.258908453,104.0093498
30371.717,35122.0922,52309,NIL,BLK 30,1.290944721,103.8973135
18073.7534,35858.8208,28631,B05,OPP BLK 288D,1.17972612,103.9039304
34291.9236,36994.5414,63109,B09,BLK 172,1.326397169,103.9141394
12509.8019,36594.065,27409,B02,BLK 821,1.129407515,103.9105353
25584.1469,30062.3675,10401,B03,SHRIRO HSE,1.247648356,103.8518495
30471.0756,31175.6327,1039,B09,NTH BRIDGE COMMERC CPLX,1.291843934,103.861853
22762.9947,45958.604,46349,B02,AFT BLK 353,1.222130024,103.9946797
19648.7573,36253.9446,43611,B06,BLK 290H,1.193969808,103.907481
37084.033,31924.4139,92221,B02,BLK 19,1.351649086,103.8685819
25708.198,29305.1198,14199,B02,BLK 118,1.24877027,103.8450454
33165.59978,40489.59102,66581,NIL,BLK 986B,1.316209882,103.9455438
19339.4844,37176.5609,43549,B01,REGENT HTS,1.191172616,103.9157707
43795.2785,38572.4144,97069,B10,LLOYD LEAS WORK REL CAMP,1.412341492,103.9283208
40598.68805,39737.78188,77131,B01,BLK 502,1.383432271,103.9387913
42313.5262,39652.4694,78121,B07,BET BLKS 232 / 233,1.39894066,103.9380254
27743.5372,48542.408,58201,B02,PRISON TRG SCH,1.267170577,104.0178987
12569.5191,39335.9958,31059,B01,AFT CEMY OFFICE,1.129946813,103.9351712
